,Date,S&P Composite,monthly_return_per,president
0,1871-02-28,4.5,1.3513513513513424,Ulysses S. Grant
1,1871-03-31,4.61,2.4444444444444513,Ulysses S. Grant
2,1871-04-30,4.74,2.819956616052058,Ulysses S. Grant
3,1871-05-31,4.86,2.531645569620255,Ulysses S. Grant
4,1871-06-30,4.82,-0.8230452674897125,Ulysses S. Grant
5,1871-07-31,4.73,-1.867219917012445,Ulysses S. Grant
6,1871-08-31,4.79,1.2684989429175393,Ulysses S. Grant
7,1871-09-30,4.84,1.0438413361169065,Ulysses S. Grant
8,1871-10-31,4.59,-5.1652892561983474,Ulysses S. Grant
9,1871-11-30,4.64,1.0893246187363796,Ulysses S. Grant
10,1871-12-31,4.74,2.155172413793115,Ulysses S. Grant
11,1872-01-31,4.86,2.531645569620255,Ulysses S. Grant
12,1872-02-29,4.88,0.41152263374484715,Ulysses S. Grant
13,1872-03-31,5.04,3.2786885245901667,Ulysses S. Grant
14,1872-04-30,5.18,2.7777777777777715,Ulysses S. Grant
15,1872-05-31,5.18,0.0,Ulysses S. Grant
16,1872-06-30,5.13,-0.965250965250962,Ulysses S. Grant
17,1872-07-31,5.1,-0.5847953216374318,Ulysses S. Grant
18,1872-08-31,5.04,-1.1764705882352864,Ulysses S. Grant
19,1872-09-30,4.95,-1.785714285714283,Ulysses S. Grant
20,1872-10-31,4.97,0.40404040404039543,Ulysses S. Grant
21,1872-11-30,4.95,-0.4024144869215206,Ulysses S. Grant
22,1872-12-31,5.07,2.4242424242424265,Ulysses S. Grant
23,1873-01-31,5.11,0.788954635108482,Ulysses S. Grant
24,1873-02-28,5.15,0.7827788649706464,Ulysses S. Grant
25,1873-03-31,5.11,-0.7766990291262142,Ulysses S. Grant
26,1873-04-30,5.04,-1.3698630136986356,Ulysses S. Grant
27,1873-05-31,5.05,0.19841269841269418,Ulysses S. Grant
28,1873-06-30,4.98,-1.3861386138613743,Ulysses S. Grant
29,1873-07-31,4.97,-0.20080321285141917,Ulysses S. Grant
30,1873-08-31,4.97,0.0,Ulysses S. Grant
31,1873-09-30,4.59,-7.645875251509053,Ulysses S. Grant
32,1873-10-31,4.19,-8.714596949891055,Ulysses S. Grant
33,1873-11-30,4.04,-3.5799522673031112,Ulysses S. Grant
34,1873-12-31,4.42,9.405940594059404,Ulysses S. Grant
35,1874-01-31,4.66,5.42986425339367,Ulysses S. Grant
36,1874-02-28,4.8,3.0042918454935554,Ulysses S. Grant
37,1874-03-31,4.73,-1.4583333333333208,Ulysses S. Grant
38,1874-04-30,4.6,-2.748414376321369,Ulysses S. Grant
39,1874-05-31,4.48,-2.608695652173896,Ulysses S. Grant
40,1874-06-30,4.46,-0.4464285714285817,Ulysses S. Grant
41,1874-07-31,4.46,0.0,Ulysses S. Grant
42,1874-08-31,4.47,0.22421524663676654,Ulysses S. Grant
43,1874-09-30,4.54,1.5659955257270757,Ulysses S. Grant
44,1874-10-31,4.53,-0.22026431718061204,Ulysses S. Grant
45,1874-11-30,4.57,0.8830022075055195,Ulysses S. Grant
46,1874-12-31,4.54,-0.6564551422319529,Ulysses S. Grant
47,1875-01-31,4.54,0.0,Ulysses S. Grant
48,1875-02-28,4.53,-0.22026431718061204,Ulysses S. Grant
49,1875-03-31,4.59,1.3245033112582694,Ulysses S. Grant
50,1875-04-30,4.65,1.307189542483671,Ulysses S. Grant
51,1875-05-31,4.47,-3.8709677419354964,Ulysses S. Grant
52,1875-06-30,4.38,-2.0134228187919434,Ulysses S. Grant
53,1875-07-31,4.39,0.22831050228310015,Ulysses S. Grant
54,1875-08-31,4.41,0.4555808656036552,Ulysses S. Grant
55,1875-09-30,4.37,-0.9070294784580506,Ulysses S. Grant
56,1875-10-31,4.3,-1.601830663615567,Ulysses S. Grant
57,1875-11-30,4.37,1.6279069767441927,Ulysses S. Grant
58,1875-12-31,4.37,0.0,Ulysses S. Grant
59,1876-01-31,4.46,2.0594965675057177,Ulysses S. Grant
60,1876-02-29,4.52,1.345291479820619,Ulysses S. Grant
61,1876-03-31,4.51,-0.22123893805309267,Ulysses S. Grant
62,1876-04-30,4.34,-3.769401330376939,Ulysses S. Grant
63,1876-05-31,4.18,-3.6866359447004644,Ulysses S. Grant
64,1876-06-30,4.15,-0.7177033492822814,Ulysses S. Grant
65,1876-07-31,4.1,-1.2048192771084507,Ulysses S. Grant
66,1876-08-31,3.93,-4.146341463414622,Ulysses S. Grant
67,1876-09-30,3.69,-6.106870229007639,Ulysses S. Grant
68,1876-10-31,3.67,-0.542005420054201,Ulysses S. Grant
69,1876-11-30,3.6,-1.9073569482288784,Ulysses S. Grant
70,1876-12-31,3.58,-0.555555555555556,Ulysses S. Grant
71,1877-01-31,3.55,-0.8379888268156493,Ulysses S. Grant
72,1877-02-28,3.34,-5.915492957746478,Ulysses S. Grant
73,1877-03-31,3.17,-5.089820359281435,Ulysses S. Grant
74,1877-04-30,2.94,-7.2555205047318605,Rutherford B. Hayes
75,1877-05-31,2.94,0.0,Rutherford B. Hayes
76,1877-06-30,2.73,-7.142857142857142,Rutherford B. Hayes
77,1877-07-31,2.85,4.3956043956043995,Rutherford B. Hayes
78,1877-08-31,3.05,7.017543859649113,Rutherford B. Hayes
79,1877-09-30,3.24,6.229508196721325,Rutherford B. Hayes
80,1877-10-31,3.31,2.1604938271604888,Rutherford B. Hayes
81,1877-11-30,3.26,-1.5105740181268963,Rutherford B. Hayes
82,1877-12-31,3.25,-0.3067484662576622,Rutherford B. Hayes
83,1878-01-31,3.25,0.0,Rutherford B. Hayes
84,1878-02-28,3.18,-2.153846153846149,Rutherford B. Hayes
85,1878-03-31,3.24,1.8867924528301903,Rutherford B. Hayes
86,1878-04-30,3.33,2.7777777777777732,Rutherford B. Hayes
87,1878-05-31,3.34,0.30030030030029387,Rutherford B. Hayes
88,1878-06-30,3.41,2.0958083832335417,Rutherford B. Hayes
89,1878-07-31,3.48,2.0527859237536608,Rutherford B. Hayes
90,1878-08-31,3.45,-0.8620689655172358,Rutherford B. Hayes
91,1878-09-30,3.52,2.028985507246372,Rutherford B. Hayes
92,1878-10-31,3.48,-1.1363636363636374,Rutherford B. Hayes
93,1878-11-30,3.47,-0.28735632183907434,Rutherford B. Hayes
94,1878-12-31,3.45,-0.5763688760806921,Rutherford B. Hayes
95,1879-01-31,3.58,3.7681159420289823,Rutherford B. Hayes
96,1879-02-28,3.71,3.631284916201114,Rutherford B. Hayes
97,1879-03-31,3.65,-1.617250673854449,Rutherford B. Hayes
98,1879-04-30,3.77,3.2876712328767157,Rutherford B. Hayes
99,1879-05-31,3.94,4.509283819628646,Rutherford B. Hayes
100,1879-06-30,3.96,0.5076142131979701,Rutherford B. Hayes
101,1879-07-31,4.04,2.020202020202022,Rutherford B. Hayes
102,1879-08-31,4.07,0.7425742574257487,Rutherford B. Hayes
103,1879-09-30,4.22,3.6855036855036722,Rutherford B. Hayes
104,1879-10-31,4.68,10.90047393364929,Rutherford B. Hayes
105,1879-11-30,4.93,5.341880341880342,Rutherford B. Hayes
106,1879-12-31,4.92,-0.20283975659228778,Rutherford B. Hayes
107,1880-01-31,5.11,3.861788617886187,Rutherford B. Hayes
108,1880-02-29,5.2,1.76125244618395,Rutherford B. Hayes
109,1880-03-31,5.3,1.9230769230769162,Rutherford B. Hayes
110,1880-04-30,5.18,-2.264150943396228,Rutherford B. Hayes
111,1880-05-31,4.77,-7.915057915057918,Rutherford B. Hayes
112,1880-06-30,4.79,0.4192872117400517,Rutherford B. Hayes
